2024-10-06 20:34:57,738 | root | INFO | Starting script
2024-10-06 20:34:57,738 | root | INFO | Mapping incoming files
2024-10-06 20:36:44,675 | root | INFO | Starting script
2024-10-06 20:36:44,676 | root | INFO | Mapping incoming files
2024-10-06 20:36:44,677 | root | INFO | Reading from ZIP: Empresas0.zip
2024-10-06 20:37:12,949 | root | INFO | Appending: Empresas0.zip
2024-10-06 20:37:12,950 | root | INFO | Reading from ZIP: Empresas1.zip
2024-10-06 20:37:19,333 | root | INFO | Appending: Empresas1.zip
2024-10-06 20:37:19,334 | root | INFO | Reading from ZIP: Empresas2.zip
2024-10-06 20:37:26,008 | root | INFO | Appending: Empresas2.zip
2024-10-06 20:37:26,008 | root | INFO | Reading from ZIP: Empresas3.zip
2024-10-06 20:37:32,960 | root | INFO | Appending: Empresas3.zip
2024-10-06 20:37:32,961 | root | INFO | Reading from ZIP: Empresas4.zip
2024-10-06 20:37:39,951 | root | INFO | Appending: Empresas4.zip
2024-10-06 20:37:39,951 | root | INFO | Reading from ZIP: Empresas5.zip
2024-10-06 20:37:48,472 | root | INFO | Appending: Empresas5.zip
2024-10-06 20:37:48,473 | root | INFO | Reading from ZIP: Empresas6.zip
2024-10-06 20:37:57,503 | root | INFO | Appending: Empresas6.zip
2024-10-06 20:37:57,503 | root | INFO | Reading from ZIP: Empresas7.zip
2024-10-06 20:38:08,250 | root | INFO | Appending: Empresas7.zip
2024-10-06 20:38:08,250 | root | INFO | Reading from ZIP: Empresas8.zip
2024-10-06 20:38:15,926 | root | INFO | Appending: Empresas8.zip
2024-10-06 20:38:15,926 | root | INFO | Reading from ZIP: Empresas9.zip
2024-10-06 20:38:23,825 | root | INFO | Appending: Empresas9.zip
2024-10-06 20:38:45,043 | root | INFO | Exporting: empresas
2024-10-06 20:39:31,563 | root | INFO | Reading from ZIP: Estabelecimentos0.zip
2024-10-06 20:40:12,325 | root | ERROR | Error processing Estabelecimentos0.zip: 'charmap' codec can't decode byte 0x8f in position 237913: character maps to <undefined>
2024-10-06 20:40:12,326 | root | INFO | Reading from ZIP: Estabelecimentos1.zip
2024-10-06 20:40:47,875 | root | INFO | Appending: Estabelecimentos1.zip
2024-10-06 20:40:47,877 | root | INFO | Reading from ZIP: Estabelecimentos2.zip
2024-10-06 20:41:20,396 | root | INFO | Appending: Estabelecimentos2.zip
2024-10-06 20:41:20,397 | root | INFO | Reading from ZIP: Estabelecimentos3.zip
2024-10-06 20:41:51,352 | root | INFO | Appending: Estabelecimentos3.zip
2024-10-06 20:41:51,366 | root | INFO | Reading from ZIP: Estabelecimentos4.zip
2024-10-06 20:42:24,295 | root | INFO | Appending: Estabelecimentos4.zip
2024-10-06 20:42:24,313 | root | INFO | Reading from ZIP: Estabelecimentos5.zip
2024-10-06 20:42:29,711 | root | ERROR | Error processing Estabelecimentos5.zip: 'charmap' codec can't decode byte 0x8f in position 23335: character maps to <undefined>
2024-10-06 20:42:29,712 | root | INFO | Reading from ZIP: Estabelecimentos6.zip
2024-10-06 20:42:59,699 | root | INFO | Appending: Estabelecimentos6.zip
2024-10-06 20:42:59,703 | root | INFO | Reading from ZIP: Estabelecimentos7.zip
2024-10-06 20:43:30,231 | root | ERROR | Error processing Estabelecimentos7.zip: Unable to allocate 544. MiB for an array with shape (15, 4753435) and data type object
2024-10-06 20:43:31,356 | root | INFO | Reading from ZIP: Estabelecimentos8.zip
2024-10-06 20:43:59,355 | root | ERROR | Error processing Estabelecimentos8.zip: Unable to allocate 544. MiB for an array with shape (15, 4753435) and data type object
2024-10-06 20:44:00,535 | root | INFO | Reading from ZIP: Estabelecimentos9.zip
2024-10-06 20:44:04,787 | root | ERROR | Error processing Estabelecimentos9.zip: 'charmap' codec can't decode byte 0x8f in position 170276: character maps to <undefined>
2024-10-06 20:54:05,663 | root | INFO | Starting script
2024-10-06 20:54:05,663 | root | INFO | Mapping incoming files
2024-10-06 20:54:05,664 | root | INFO | Reading from ZIP: Empresas0.zip
2024-10-06 20:54:33,093 | root | INFO | Appending: Empresas0.zip
2024-10-06 20:54:33,093 | root | INFO | Reading from ZIP: Empresas1.zip
2024-10-06 20:54:39,569 | root | INFO | Appending: Empresas1.zip
2024-10-06 20:54:39,569 | root | INFO | Reading from ZIP: Empresas2.zip
2024-10-06 20:55:17,798 | root | INFO | Starting script
2024-10-06 20:55:17,798 | root | INFO | Mapping incoming files
2024-10-06 20:55:17,799 | root | INFO | Reading from ZIP: Empresas0.zip
